Price,Year,Mileage,City,State,Vin,Make,Model
15500,2015,22458,Round Rock, TX,19XFB2F50FE018372,Honda,Civic
13395,2015,46432,Greensboro, NC,19XFB2F54FE055747,Honda,Civic
9995,2012,48830,Hackettstown, NJ,2HGFB2F56CH531238,Honda,Civic
12686,2014,50863,Tewksbury, MA,2HGFB2F5XEH555304,Honda,Civic
17988,2016,8894,Hampton, VA,2HGFC2F55GH511744,Honda,Civic
16795,2016,14532,Houston, TX,19XFC2F5XGE045867,Honda,Civic
15288,2015,20925,Huntington Beach, CA,19XFB2F54FE200530,Honda,Civic
8777,2012,64917,West Babylon, NY,19XFB2F57CE335450,Honda,Civic
14592,2014,25045,New Port Richey, FL,19XFB2F81EE062213,Honda,Civic
11956,2014,51877,Nanuet, NY,2HGFB2F55EH519231,Honda,Civic
12750,2014,34278,Louisville, KY,19XFB2F51EE029220,Honda,Civic
14995,2014,15405,Midlothian, VA,19XFB2F81EE205421,Honda,Civic
16904,2016,14461,Davie, FL,19XFC2F59GE096289,Honda,Civic
17750,2016,3012,Delray Beach, FL,19XFC2F50GE081342,Honda,Civic
16822,2014,9834,Scotia, NY,2HGFB2F80EH549148,Honda,Civic
